resultId,raceId,driverId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,position_change,is_fastest_lap,driver_experience,grid_experience_interaction,avg_position_last_5,constructorId_2,constructorId_3,constructorId_4,constructorId_5,constructorId_6,constructorId_7,constructorId_8,constructorId_9,constructorId_10,constructorId_11,constructorId_12,constructorId_15,constructorId_16,constructorId_17,constructorId_19,constructorId_23,constructorId_51,constructorId_117,constructorId_131,constructorId_164,constructorId_205,constructorId_206,constructorId_207,constructorId_208,constructorId_209,constructorId_210,constructorId_211,constructorId_213,constructorId_214,constructorId_215,statusId_11,statusId_131
1,18,1,22,1,1,1,1,10.0,58,1:34:50.616,5690616,39,2,1:27.452,218.3,0,0,1,1,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,18,2,3,5,2,2,2,8.0,58,+5.478,5696094,41,3,1:27.739,217.586,3,0,1,5,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,18,3,7,7,3,3,3,6.0,58,+8.163,5698779,41,5,1:28.090,216.719,4,0,1,7,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,18,4,5,11,4,4,4,5.0,58,+17.181,5707797,58,7,1:28.603,215.464,7,0,1,11,4.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,18,5,23,3,5,5,5,4.0,58,+18.014,5708630,43,1,1:27.418,218.385,-2,1,1,3,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,19,8,1,2,1,1,1,10.0,56,1:31:18.555,5478555,37,2,1:35.405,209.158,1,0,1,2,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,19,9,4,4,2,2,2,8.0,56,+19.570,5498125,39,6,1:35.921,208.033,2,0,1,4,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,19,5,23,8,3,3,3,6.0,56,+38.450,5517005,19,7,1:35.922,208.031,5,0,2,16,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,19,15,11,3,4,4,4,5.0,56,+45.832,5524387,53,8,1:36.068,207.715,-1,0,1,3,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,19,1,22,9,5,5,5,4.0,56,+46.548,5525103,53,3,1:35.462,209.033,4,0,2,18,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,19,2,3,5,6,6,6,3.0,56,+49.833,5528388,55,1,1:35.366,209.244,-1,1,2,10,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,19,17,10,6,7,7,7,2.0,56,+1:08.130,5546685,53,12,1:36.696,206.366,-1,0,1,6,7.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,19,4,5,7,8,8,8,1.0,56,+1:10.041,5548596,40,10,1:36.288,207.24,-1,0,2,14,6.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,19,14,9,12,9,9,9,0.0,56,+1:16.220,5554775,55,9,1:36.206,207.417,3,0,1,12,9.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,19,18,16,11,10,10,10,0.0,56,+1:26.214,5564769,56,4,1:35.715,208.481,1,0,1,11,10.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
